LSOA_code,IMD_decile,population,__core20,__core20_pop,__core20_density,__core20_pct
E01003217,6,2024,False,0,0.0,0.0
E01003218,5,1520,False,0,0.0,0.0
E01003219,4,1803,False,0,0.0,0.0
E01003220,4,1671,False,0,0.0,0.0
E01003221,3,2235,False,0,0.0,0.0
E01003222,4,1596,False,0,0.0,0.0
E01003223,4,1797,False,0,0.0,0.0
E01003224,4,1775,False,0,0.0,0.0
E01003225,8,1584,False,0,0.0,0.0
E01003226,7,1831,False,0,0.0,0.0
E01003227,8,1608,False,0,0.0,0.0
E01003228,6,1580,False,0,0.0,0.0
E01003229,2,1654,True,1654,7818.460161851031,12.858057179504925
E01003230,4,1969,False,0,0.0,0.0
E01003231,5,1565,False,0,0.0,0.0
E01003232,7,1708,False,0,0.0,0.0
E01003233,6,1875,False,0,0.0,0.0
E01003235,3,1469,False,0,0.0,0.0
E01003236,2,1672,True,1672,9363.730438889866,15.399372626362776
E01003237,2,1703,True,1703,6401.055052885084,10.527025804998088
E01003238,2,1511,True,1511,12025.327063795135,19.776572341313674
E01003239,3,1637,False,0,0.0,0.0
E01003240,3,2058,False,0,0.0,0.0
E01003241,3,1633,False,0,0.0,0.0
E01003243,2,1577,True,1577,6604.793640886653,10.862089533656334
E01003244,3,1974,False,0,0.0,0.0
E01003245,3,1972,False,0,0.0,0.0
E01003246,4,2396,False,0,0.0,0.0
E01003247,5,2113,False,0,0.0,0.0
E01003248,3,1605,False,0,0.0,0.0
E01003249,4,2007,False,0,0.0,0.0
E01003251,2,1678,True,1678,7423.693200666294,12.208832644952713
E01003252,2,1479,True,1479,20372.15732682582,33.50357466247938
E01003253,2,1430,True,1430,9827.395177113993,16.16190483766646
E01003254,6,1397,False,0,0.0,0.0
E01003255,4,2006,False,0,0.0,0.0
E01003256,3,2069,False,0,0.0,0.0
E01003257,5,1769,False,0,0.0,0.0
E01003258,4,1480,False,0,0.0,0.0
E01003259,4,1766,False,0,0.0,0.0
E01003260,6,1642,False,0,0.0,0.0
E01003261,7,1484,False,0,0.0,0.0
E01003262,6,1552,False,0,0.0,0.0
E01003263,3,1903,False,0,0.0,0.0
E01003264,4,1739,False,0,0.0,0.0
E01003265,3,1687,False,0,0.0,0.0
E01003266,2,1780,True,1780,10443.24452272181,17.1747163038454
E01003267,3,1809,False,0,0.0,0.0
E01003268,4,1788,False,0,0.0,0.0
E01003269,4,1563,False,0,0.0,0.0
E01003270,7,1680,False,0,0.0,0.0
E01003271,8,1558,False,0,0.0,0.0
E01003272,5,1982,False,0,0.0,0.0
E01003273,6,1424,False,0,0.0,0.0
E01003274,4,1551,False,0,0.0,0.0
E01003275,3,1622,False,0,0.0,0.0
E01003276,6,1895,False,0,0.0,0.0
E01003277,5,1628,False,0,0.0,0.0
E01003278,4,2104,False,0,0.0,0.0
E01003279,6,1577,False,0,0.0,0.0
E01003280,4,1622,False,0,0.0,0.0
E01003281,7,1524,False,0,0.0,0.0
E01003282,5,2337,False,0,0.0,0.0
E01003283,6,2006,False,0,0.0,0.0
E01003284,5,1875,False,0,0.0,0.0
E01003285,6,1721,False,0,0.0,0.0
E01003286,3,1751,False,0,0.0,0.0
E01003287,7,1855,False,0,0.0,0.0
E01003288,3,2208,False,0,0.0,0.0
E01003290,2,1921,True,1921,13305.157706608536,21.88135195836313
E01003291,2,1519,True,1519,5455.469888622456,8.971938504111732
E01003292,4,1808,False,0,0.0,0.0
E01003293,3,1617,False,0,0.0,0.0
E01003295,3,1762,False,0,0.0,0.0
E01003297,4,1690,False,0,0.0,0.0
E01003298,3,1238,False,0,0.0,0.0
E01003299,3,1803,False,0,0.0,0.0
E01003300,2,1418,True,1418,12251.44871682808,20.14844673653134
E01003301,6,2722,False,0,0.0,0.0
E01003302,3,1844,False,0,0.0,0.0
E01003303,2,1910,True,1910,8453.26822725823,13.90204771396385
E01003304,3,2183,False,0,0.0,0.0
E01003305,3,2258,False,0,0.0,0.0
E01003307,6,1585,False,0,0.0,0.0
E01003308,4,1704,False,0,0.0,0.0
E01003309,3,1651,False,0,0.0,0.0
E01003310,3,1581,False,0,0.0,0.0
E01003311,6,1616,False,0,0.0,0.0
E01003312,6,1738,False,0,0.0,0.0
E01003313,2,1667,True,1667,7119.291254256278,11.70822030550633
E01003314,6,1640,False,0,0.0,0.0
E01003315,4,1326,False,0,0.0,0.0
E01003316,6,1464,False,0,0.0,0.0
E01003318,1,2119,True,2119,6069.371058309824,9.98154604562235
E01003319,2,1814,True,1814,13564.04853613445,22.30711777674463
E01003320,2,1611,True,1611,8783.408775320242,14.444989157212113
E01003321,2,1752,True,1752,10666.808604959582,17.5423845778008
E01003322,4,1585,False,0,0.0,0.0
E01003323,4,1515,False,0,0.0,0.0
E01003324,3,1663,False,0,0.0,0.0
E01003325,2,1835,True,1835,13672.315324845533,22.485170811622396
E01003326,4,1852,False,0,0.0,0.0
E01003327,5,1712,False,0,0.0,0.0
E01003328,4,1684,False,0,0.0,0.0
E01003329,6,1590,False,0,0.0,0.0
E01003330,3,1605,False,0,0.0,0.0
E01003331,4,1487,False,0,0.0,0.0
E01003332,5,1578,False,0,0.0,0.0
E01003333,4,1543,False,0,0.0,0.0
E01003334,3,1808,False,0,0.0,0.0
E01003335,2,1468,True,1468,12513.8625914658,20.580006472711975
E01003336,3,1462,False,0,0.0,0.0
E01003337,2,1372,True,1372,10503.69529949124,17.27413224101925
E01003338,2,2086,True,2086,14954.904485965128,24.594487023522692
E01003339,4,1727,False,0,0.0,0.0
E01003340,6,1971,False,0,0.0,0.0
E01003341,7,1330,False,0,0.0,0.0
E01003342,5,1620,False,0,0.0,0.0
E01003343,6,1354,False,0,0.0,0.0
E01003344,5,1515,False,0,0.0,0.0
E01003345,6,1787,False,0,0.0,0.0
E01003346,2,1692,True,1692,4892.9825912412425,8.046885017523326
E01003347,1,1662,True,1662,11614.737953876289,19.101327070080025
E01003348,3,1899,False,0,0.0,0.0
E01003349,3,1527,False,0,0.0,0.0
E01003350,2,1381,True,1381,5695.454323028186,9.366611306159939
E01003351,2,1712,True,1712,9403.094042867555,15.464109091121673
E01003352,3,2315,False,0,0.0,0.0
E01003353,5,1776,False,0,0.0,0.0
E01003354,3,2129,False,0,0.0,0.0
E01003355,9,1728,False,0,0.0,0.0
E01003356,9,1789,False,0,0.0,0.0
E01003357,3,1959,False,0,0.0,0.0
E01003358,10,1868,False,0,0.0,0.0
E01003359,6,1798,False,0,0.0,0.0
E01003360,9,1895,False,0,0.0,0.0
E01003361,8,1666,False,0,0.0,0.0
E01003362,10,1407,False,0,0.0,0.0
E01003363,10,1720,False,0,0.0,0.0
E01003364,10,1879,False,0,0.0,0.0
E01003365,10,1474,False,0,0.0,0.0
E01003366,7,1852,False,0,0.0,0.0
E01003368,7,1734,False,0,0.0,0.0
E01003369,7,1628,False,0,0.0,0.0
E01003370,6,2042,False,0,0.0,0.0
E01003371,8,1578,False,0,0.0,0.0
E01003372,4,1679,False,0,0.0,0.0
E01003373,2,1591,True,1591,9454.829554501011,15.549192106577806
E01003374,3,1961,False,0,0.0,0.0
E01003375,4,1846,False,0,0.0,0.0
E01003376,4,1585,False,0,0.0,0.0
E01003377,2,1608,True,1608,14418.167865627267,23.711782499643082
E01003378,5,2250,False,0,0.0,0.0
E01003379,2,2069,True,2069,15416.499983808506,25.353616210371044
E01003380,10,1731,False,0,0.0,0.0
E01003381,9,1670,False,0,0.0,0.0
E01003382,10,1905,False,0,0.0,0.0
E01003383,9,1619,False,0,0.0,0.0
E01003384,10,1648,False,0,0.0,0.0
E01003385,10,1629,False,0,0.0,0.0
E01003386,5,2330,False,0,0.0,0.0
E01003387,4,2051,False,0,0.0,0.0
E01003388,4,1728,False,0,0.0,0.0
E01003389,3,1828,False,0,0.0,0.0
E01003390,2,1871,True,1871,20101.391674893537,33.05827978820493
E01003391,2,1179,True,1179,13527.38448081527,22.24682092672974
E01003392,6,1464,False,0,0.0,0.0
E01003393,5,1681,False,0,0.0,0.0
E01003394,5,2094,False,0,0.0,0.0
E01003395,6,1725,False,0,0.0,0.0
E01003396,7,1477,False,0,0.0,0.0
E01003397,5,1530,False,0,0.0,0.0
E01003398,5,1983,False,0,0.0,0.0
E01003399,9,1420,False,0,0.0,0.0
E01003400,7,1365,False,0,0.0,0.0
E01003401,9,1322,False,0,0.0,0.0
E01003402,9,1410,False,0,0.0,0.0
E01003403,9,1436,False,0,0.0,0.0
E01003404,9,1890,False,0,0.0,0.0
E01003405,4,2503,False,0,0.0,0.0
E01003406,5,1667,False,0,0.0,0.0
E01003407,5,1934,False,0,0.0,0.0
E01003408,7,1899,False,0,0.0,0.0
E01003409,4,1850,False,0,0.0,0.0
E01003410,4,1762,False,0,0.0,0.0
E01003411,5,2088,False,0,0.0,0.0
E01003412,4,1759,False,0,0.0,0.0
E01003413,6,2043,False,0,0.0,0.0
E01003414,6,1819,False,0,0.0,0.0
E01003415,5,2431,False,0,0.0,0.0
E01003416,6,1668,False,0,0.0,0.0
E01003417,8,1621,False,0,0.0,0.0
E01003418,10,1394,False,0,0.0,0.0
E01003419,7,1874,False,0,0.0,0.0
E01003420,9,1525,False,0,0.0,0.0
E01003421,8,1590,False,0,0.0,0.0
E01003422,9,1492,False,0,0.0,0.0
E01003423,9,1749,False,0,0.0,0.0
E01003424,10,1523,False,0,0.0,0.0
E01003425,10,1457,False,0,0.0,0.0
E01003426,9,1727,False,0,0.0,0.0
E01003427,5,2007,False,0,0.0,0.0
E01003428,9,1546,False,0,0.0,0.0
